479 | 468 335 1 170 225 42 359 463 465 
479 468 | 335 1 170 225 42 359 463 465 
479 468 465 | 1 170 225 42 359 463 335 
479 468 465 463 | 170 225 42 359 1 335 
479 468 465 463 359 | 225 42 170 1 335 
479 468 465 463 359 335 | 42 170 1 225 
479 468 465 463 359 335 225 | 170 1 42 
479 468 465 463 359 335 225 170 | 1 42 
479 468 465 463 359 335 225 170 42 | 1 
492 | 146 282 328 462 206 
492 462 | 282 328 146 206 
492 462 328 | 282 146 206 
492 462 328 282 | 146 206 
492 462 328 282 206 | 146 
496 | 443 328 437 
496 443 | 328 437 
496 443 437 | 328 
392 | 105 
